timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710372609747,1611,Step 1 - Launch URL,200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-1,,true,,487121,6443,1,1,null,0,148,860
1710372609890,985,/app-536,200,OK,Thread Group 1-1,text,true,,11668,687,1,1,https://mechlintech.stage.clocksession.com/app,955,0,860
1710372610876,44,/django-static/debug_toolbar/js/toolbar.js-540,200,OK,Thread Group 1-1,text,true,,13922,653,1,1,https://mechlintech.stage.clocksession.com/django-static/debug_toolbar/js/toolbar.js,43,0,0
1710372610921,81,/django-static/app_bundles/static/css/main.945ca1e8.css-538,200,OK,Thread Group 1-1,text,true,,76261,631,1,1,https://mechlintech.stage.clocksession.com/django-static/app_bundles/static/css/main.945ca1e8.css,41,0,0
1710372611002,124,/django-static/app_bundles/static/js/main.355e8eed.js-537,200,OK,Thread Group 1-1,text,true,,354711,615,1,1,https://mechlintech.stage.clocksession.com/django-static/app_bundles/static/js/main.355e8eed.js,40,0,0
1710372611127,78,/images/clocksession-logo.png-541,200,OK,Thread Group 1-1,bin,true,,6871,651,1,1,https://mechlintech.stage.clocksession.com/images/clocksession-logo.png,78,0,0
1710372611206,91,/images/Eye-blue.png-542,200,OK,Thread Group 1-1,bin,true,,2703,642,1,1,https://mechlintech.stage.clocksession.com/images/Eye-blue.png,91,0,0
1710372611297,39,/django-static/debug_toolbar/css/print.css-543,200,OK,Thread Group 1-1,text,true,,468,618,1,1,https://mechlintech.stage.clocksession.com/django-static/debug_toolbar/css/print.css,39,0,0
1710372611336,43,/django-static/debug_toolbar/css/toolbar.css-539,200,OK,Thread Group 1-1,text,true,,13051,620,1,1,https://mechlintech.stage.clocksession.com/django-static/debug_toolbar/css/toolbar.css,42,0,0
1710372611379,40,/django-static/debug_toolbar/js/utils.js-544,200,OK,Thread Group 1-1,text,true,,5044,689,1,1,https://mechlintech.stage.clocksession.com/django-static/debug_toolbar/js/utils.js,40,0,0
1710372611419,86,/images/Eye.png-545,200,OK,Thread Group 1-1,bin,true,,2422,637,1,1,https://mechlintech.stage.clocksession.com/images/Eye.png,86,0,0
1710372611507,12822,Step 2 - Login as admin,200,"Number of samples in transaction : 41, number of failing samples : 0",Thread Group 1-1,,true,,251844,33561,1,1,null,0,16,0
1710372611507,692,/v2/api/auth/login/-546,200,OK,Thread Group 1-1,text,true,,2049,876,1,1,https://mechlintech.stage.clocksession.com/v2/api/auth/login/,692,0,0
1710372612201,2514,/v2/api/permissions/-552,200,OK,Thread Group 1-1,text,true,,36851,840,1,1,https://mechlintech.stage.clocksession.com/v2/api/permissions/?items_per_page=1000000,2478,0,0
1710372614716,175,/v2/api/groups/-551,200,OK,Thread Group 1-1,text,true,,1411,832,1,1,https://mechlintech.stage.clocksession.com/v2/api/groups/?items_per_page=1000,175,0,0
1710372614890,121,/api/TimeZones/get_common_time_zones/-548,200,OK,Thread Group 1-1,text,true,,9321,834,1,1,https://mechlintech.stage.clocksession.com/api/TimeZones/get_common_time_zones/,121,0,0
1710372615011,410,/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/subordinates/-549,200,OK,Thread Group 1-1,text,true,,1016,865,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/subordinates/,410,0,0
1710372615422,894,/v2/api/active-subscription/feature_list/-553,200,OK,Thread Group 1-1,text,true,,2820,894,1,1,https://mechlintech.stage.clocksession.com/v2/api/active-subscription/feature_list/?organisation_name=Mechlin+Software+Technology+Pvt.+Ltd.,893,0,0
1710372616316,1009,/v2/api/active-subscription/active_subscriptionplan_for_organisation/-554,200,OK,Thread Group 1-1,text,true,,6105,943,1,1,https://mechlintech.stage.clocksession.com/v2/api/active-subscription/active_subscriptionplan_for_organisation/?organisation_name=Mechlin+Software+Technology+Pvt.+Ltd.&ordering=-start_date,1009,0,0
1710372617325,363,/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/-550,200,OK,Thread Group 1-1,text,true,,1625,976,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/,363,0,0
1710372617689,500,/v2/api/attendance/-547,200,OK,Thread Group 1-1,text,true,,1014,946,1,1,https://mechlintech.stage.clocksession.com/v2/api/attendance/?items_per_page=10&page=1&report_type=daily&user=fa7b100d-aaf5-4fc6-ad60-2eedf31536cf&date_after=2024-03-13&date_before=2024-03-13,500,0,0
1710372618190,496,/v2/api/reports/dashbord_brief/-555,200,OK,Thread Group 1-1,text,true,,1749,975,1,1,https://mechlintech.stage.clocksession.com/v2/api/reports/dashbord_brief/,496,0,0
